Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH
C1_4_8;60.35190072655678;60.599501967430115;60.76473620533943;61.58038005232811;61.54686790704727;60.01366728544235;61.95635682344437;61.214779794216156;61.63015991449356;61.070565313100815;61.24456471204758
C1_2_10;60.228370878431534;60.14968314170837;60.13391719924079;60.05546787050035;60.03762331008911;60.064451959398056;64.2634059323205;60.22828687561883;60.00090608596802;61.826691177156235;60.25267767906189
C1_2_4;60.028496050834654;63.513971996307376;60.03365018367767;60.10005612373352;60.127032613754274;60.06418118476868;60.11371912956238;60.08573589324951;64.98394515514374;60.01558654308319;272.0565680027008
C1_6_1;60.03392639160156;61.607461190223695;60.04916319847107;61.04473648071289;62.00147747993469;60.06476907730102;60.338375973701474;60.36213207244873;60.34162683486939;60.0277747631073;61.49375691413879
CVRP_p14;60.04737255573273;60.00170643329621;60.05862922668457;60.0015412569046;60.001125478744505;60.00282614231109;60.02375950813293;60.00172927379608;60.002473211288454;60.00203649997711;60.00290162563324
C1_2_8;60.02276780605316;60.07445387840271;60.19445374011993;77.35281367301941;60.14602839946747;60.05093030929565;60.30780382156372;60.36973640918732;60.0715026140213;60.008203983306885;60.08671510219574
C1_2_9;60.06428551673889;60.13718763987223;60.0916174252828;60.10555828942193;60.123056968053184;60.02074225743612;60.044747829437256;60.01136292351617;60.04432760344611;60.017639848921036;60.02550082736545
C1_2_2;60.15950122475624;60.04141819477081;60.04085260629654;60.07631450891495;60.15552154183388;60.08732542395592;60.050088346004486;60.028227269649506;60.01627370715141;60.05947679281235;60.089383631944656
CVRP_1;60.00304503440857;60.00069363117218;60.00046787261963;60.001098012924196;60.00068469047547;60.00034301280975;60.0017333984375;60.00105175971985;60.00197510719299;60.00077314376831;60.0003879070282
HFVRP_p3;60.00160579681396;60.000660920143126;60.00080587863922;60.00081765651703;60.001445055007935;600.2830266952515;60.00278911590576;60.00059311389923;60.001705169677734;60.00124475955963;60.00075142383575
C1_4_5;61.26793694496155;61.99763426780701;60.428945899009705;62.00326051712036;62.06344752311706;60.010405802726744;61.22092127799988;61.68357744216919;61.605500316619874;61.88485243320465;61.19556827545166
HFVRP_p5;60.00628559589386;60.00091149806976;60.0040346622467;60.00189661979675;60.001137495040894;600.4956841468811;60.00451111793518;60.00097563266754;60.001679968833926;60.006830382347104;60.00244779586792
CVRP_3;0.2010488510131836;0.0039017200469970703;0.2010488510131836;0.2010488510131836;0.003394603729248047;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.0039038658142089844;0.2010488510131836;0.009144306182861328
